ref,symbol,company_name,category_number,category,shares
51023,FDIBL,First Dawood Investment Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,148390023
51033,JSCL,Jahangir Siddiqui & Co. Ltd.,813,INV. BANKS / INV. COS. / SECURITIES COS.,915942388
51034,BIPLS,BIPL Securities Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,100000000
51037,NEXT,Next Capital Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,49500000
51040,AMBL,Apna Microfinance Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,428984962
51042,ESBL,Escorts Investment Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,135600000
51046,FCEL,First Capital Equities Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,141335500
51047,PSX,Pakistan Stock Exchange Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,801476600
51055,FCSC,First Capital Securities Corporation,813,INV. BANKS / INV. COS. / SECURITIES COS.,316610115
51058,FCIBL,First Credit and Investment Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,65000000
51065,EFGH,EFG Hermes Pakistan Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,20015650
51070,FNEL,First National Equities Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,267286331
51087,JSIL,JS Investments Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,61774256
51090,JSGCL,JS Global Capital Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,27477297
51099,786,786 Investments Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,14973750
51102,DEL,Dawood Equities Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,27500000
51105,PASL,Pervez Ahmed Consultancy Services Ltd.,813,INV. BANKS / INV. COS. / SECURITIES COS.,186568487
51110,PDGH,Prudential Discourt & Guarantee House Ltd.,813,INV. BANKS / INV. COS. / SECURITIES COS.,10000000
51120,PRIB,Prudential Investment Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,10000000
51140,SIBL,Security Investment Bank Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,51433559
